id	filmid	szereploid
1	3	1
2	6	3
3	3	4
4	4	4
5	7	4
6	6	4
7	4	5
8	5	6
9	2	7
10	2	8
11	1	8
12	1	9
13	3	10
14	3	11
15	1	13
16	1	14
17	1	15
18	5	16
19	6	17
20	2	18
21	5	19
22	2	20
23	2	21
24	3	21
25	4	21
26	5	21
27	1	21
28	7	21
29	6	21
30	2	22
31	6	23
32	5	24
33	3	25
34	3	26
35	2	27
36	5	28
37	2	29
38	3	30
39	2	32
40	3	33
41	5	34
42	6	34
43	3	36
44	3	37
45	1	38
46	2	39
47	3	40
48	1	42
49	5	43
50	4	44
51	6	45
52	1	46
53	4	47
54	7	48
55	1	49
56	4	50
57	3	51
58	2	52
59	3	53
60	6	54
61	5	55
62	4	56
63	1	57
64	1	58
65	5	59
66	6	59
67	4	60
68	4	62
69	5	63
70	6	63
71	4	64
72	5	65
73	7	65
74	4	66
75	4	67
76	2	68
77	3	68
78	4	68
79	5	68
80	1	68
81	7	68
82	6	68
83	2	69
84	2	70
85	7	71
86	3	72
87	3	73
88	5	73
89	2	74
90	7	75
91	4	76
92	4	77
93	5	78
94	2	80
95	1	81
96	2	82
97	1	83
98	2	84
99	3	85
100	4	85
101	4	87
102	5	88
103	6	88
104	4	89
105	4	90
106	3	91
107	3	92
108	6	93
109	7	94
110	1	96
111	3	97
112	4	98
113	4	99
114	1	100
115	4	101
116	4	102
117	5	103
118	4	104
119	5	105
120	2	106
121	4	107
122	7	108
123	2	109
124	5	110
125	6	110
126	5	111
127	2	112
128	5	113
129	1	114
130	1	115
131	3	116
132	4	117
133	2	119
134	1	120
135	1	121
136	4	122
137	1	123
138	2	124
139	4	125
140	2	126
141	1	127
142	5	128
143	4	129
144	4	130
145	4	131
146	5	132
147	3	133
148	2	134
149	5	135
150	4	136
151	2	137
152	6	138
153	5	139
154	5	140
155	6	140
156	6	141
157	6	142
158	6	143
159	4	144
160	7	145
161	4	146
162	1	147
163	4	148
164	2	149
165	3	150
166	4	150
167	1	150
168	7	151
169	5	152
170	7	153
171	2	154
172	1	156
173	3	157
174	5	158
175	1	159
176	4	160
177	5	162
178	6	163
179	1	164
180	2	165
181	4	166
182	1	167
183	7	168
184	1	169
185	2	170
186	6	171
187	4	172
188	4	174
189	5	175
190	2	176
191	5	177
192	5	178
193	4	179
194	5	181
195	7	182
196	7	183
197	6	183
198	1	185
199	6	186
200	3	187
201	4	188
202	2	189
203	3	189
204	5	189
205	1	189
206	6	189
207	4	190
