id	szinesz	szerep
1	Albert Flórián	Albert Flórián
3	Áts Gyula	Szabó Ferenc
4	Avar István	Tolnai Béla, balatonfüredi rendőrkapitány
5	Bács Kati	Szekér "Pipi" Ilona
6	Balla Ica	Zamoreczkyné
7	Balogh Menyhért	Gengszter
8	Bánhidi László	Matuska
9	Bars József	Szerelmespár
10	Basilides Zoltán	Kapa bácsi
11	Bay Gyula	Johann
13	Benedek Miklós	Mr. P. Smith, angol ékszerész
14	Benkő Márta	Pincérnő a diszkóhajón
15	Benkő Péter	Szemere nyomozó ("Csapos")
16	Bessenyei Ferenc	Öreg színész
17	Beszterczey Attila	Autótolvaj
18	Bodrogi Gyula	Boros hadnagy
19	Borbás Erika	Nő a hostessképzőben
20	Boros Sándor	Gengszter
21	Bujtor István	Ötvös Csöpi
22	Csányi János	Piri
23	Csizmadia Gergely	Venyige
24	Csomor Ágnes	Recepciós Pécselyen
25	Derzsi János	Gagyi
26	Detre Annamária	Konsumex bolt vezetője
27	Đoko Rosić	Alex/Heinrich Romfeld
28	Dósa Zsuzsanna	Kovács Réka
29	Dózsa László	Szörfös Dodi
30	Dzsupin Ibolya	Kaszinó pénztáros
32	Farkas Antal	Gengszter
33	Fekete András	Gyula bácsi, rendőr
34	Fekete Linda	Rendőrlány
36	Földessy Margit	Vidámparki pénztáros
37	Frajt Edit	Tacsányiné, a kastély igazgatója
38	Fridenzi Éva	Frau Borg, teniszezőnő
39	Galambos György	Benzinkutas
40	Gálvölgyi János	Tangóharmonikás
42	Gór Nagy Mária	Csíkné Zsuzsa
43	Gór Nagy Mária	Mária, főhadnagy
44	Gór Nagy Mária	Micike, titkárnő
45	Hagara Alexa	Rendőrlány
46	Halász László	Nagy Vilmos, szántódi rendőr
47	Halász László	Utas a reptéren
48	Harsay Gábor	Kardos embere
49	Hernádi Judit	Vályi Zoltánné
50	Hollósi Frigyes	Babaszállító
51	Horesnyi László	Tacsányi Ferenc
52	Hunyadkürti István	Gengszter
53	Hunyadkürti István	Veréb
54	Igó Éva	Bea, főhadnagy
55	Janisch Éva	Molnár Irén
56	Juhász Illés	Kardos embere
57	Juhász Tamás	Kisfiú
58	Kállai Ferenc	Csík István, vitorlázó
59	Kállai Ferenc	Havilúd
60	Kállay Ilona	Árverési kikiáltó
62	Kamuthy Jenő	Orvos
