ev	pilotaid	navigatorid	csapat	auto
1974	3	29	Volán SC	Skoda 120
1976	11	18	Volán SC	Renault 17 Gordini
1977	11	8	Volán SC	Renault 17 Gordini
1978	11	8	Volán SC	Renault 5 Alpine
1979	11	8	Volán SC	Renault 5 Alpine
1980	11	8	Volán SC	Renault 5 Alpine
1981	11	8	Volán SC	Renault 5 Alpine
1982	11	8	Volán SC	Renault 5 Alpine
1983	15	23	Kaposvári KSE	Lada
1984	15	4	Volán-Surján SE	Lada
1985	11	8	Váci AJ	Renault 5 Turbo
1986	26	19	Váci AJ	Renault 5 Turbo
1987	28	9	Pannon Volán SC	Lada VFTS
1988	28	9	Novotrade-Navigátor	Audi Quattro
1989	30	21	Novotrade-Navigátor	Audi Quattro
1990	11	8	Novotrade-Navigátor	Lancia Delta
1991	28	6	MHB Rallye Team	Lancia Delta Integrale
1992	28	6	MHB Rallye Team	Lancia Delta Integrale
1993	28	6	Marlboro Rallye Team	Lancia Delta Integrale
1994	28	6	Marlboro Rallye Team	Lancia Delta Integrale
1995	16	12	Aral Colonia Rallye Team	Toyota Celica
1996	16	12	Aral Colonia Rallye Team	Toyota Celica
1997	16	12	Aral Colonia Rallye Team	Toyota Celica
1998	25	6	Mol Rally Team	Subaru Impreza WRC
1999	25	6	Mol Rally Team	Subaru Impreza WRC
2000	16	34	Symphonia Rally Team	Peugeot 206 WRC
2001	16	34	Symphonia Rally Team	Peugeot 206 WRC
2002	16	34	Bomba! Rally Team	Peugeot 206 WRC
2003	5	31	OMV Benik Rally Team	Ford Focus WRC
2004	35	24	Turi Rally Team	Skoda Octavia WRC
2005	16	2	Peugeot-Total-Pirelli Rally Team	Peugeot 206 WRC
2006	5	36	OMV Benik Rally Team	Ford Focus WRC
2007	5	36	OMV Benik Rally Team	Ford Focus WRC
2008	32	21	HELL Racing Team	Mitsubishi Lancer WRC
2009	13	20	Hadik Autósport Egyesület	Subaru Impreza N12
2010	1	27	Asi Rallye Club	Mitsubishi Lancer Evo IX.
2011	1	27	Asi Rallye Club	Mitsubishi Lancer Evo IX.
2012	22	10	Maximmun Racing Team	Mitsubishi Lancer Evo9
2013	22	33	Maximmun Racing Team	Citroen Xsara WRC
2014	22	10	Maximmun Racing Team	Ford Fiesta R5/RRC
2015	14	17	Herczig Autósport Kft -  Skoda	Skoda Fabia S2000/R5
2016	14	17	Herczig Autósport Kft.	Skoda Fabia R5
2017	14	17	Herczig Rallye Sport Kft.	Skoda Fabia R5
2018	13	7	Hadik Rallye Team	Ford Fiesta R5
2019	37	17	Korda Racing Kft.	Skoda Fabia R5
